char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
路,"1,2,3",lù,Lộ,đường,verified,足,Bộ Túc,,hình thanh,source-backed,2,14,12,359,PASS,hasStrokeCount
车,1,chē,Xa,xe,verified,车,Bộ Xa,4,,not-available,0,20,12,823,PASS,"hasComponents,hasFormationType"
辆,"1,2,3",liàng,,chiếc,verified,车,Bộ Xa,11,hình thanh,source-backed,2,1,2,,PASS,"hasHanViet,hasPdfCandidate"
边,"1,2",biān,Biên,bên,verified,辶,Bộ Sước,5,,not-available,4,20,12,,PASS,"hasFormationType,hasPdfCandidate"
过,"1,2,3",guò,Quá,đã qua,verified,辶,Bộ Sước,,hình thanh,source-backed,2,15,12,,PASS,"hasStrokeCount,hasPdfCandidate"
还,"1,2,3",hái,Hoàn,"vẫn, thêm nữa",verified,辶,Bộ Sước,,,not-available,0,7,12,,PASS,"hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
这,"1,2,3",zhè,,điều này,verified,辶,Bộ Sước,,,not-available,2,10,12,,PASS,"hasHanViet,hasStrokeCount,hasFormationType,hasPdfCandidate"
进,"1,2,3",jìn,Tiến,vào,verified,辶,Bộ Sước,,hình thanh,source-backed,2,15,12,721,PASS,hasStrokeCount
远,"1,2,3",yuǎn,Viễn,xa,verified,辶,Bộ Sước,,hình thanh,source-backed,2,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
送,"1,2,3",sòng,Tống,tặng,verified,辶,Bộ Sước,,,not-available,3,7,12,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
逛,1,guàng,,dạo quanh,verified,辶,Bộ Sước,11,hình thanh,source-backed,2,4,4,,PASS,"hasHanViet,hasPdfCandidate"
道,"1,2",dào,Đạo,loại,verified,辶,Bộ Sước,12,hình thanh,source-backed,2,14,12,196,PASS,
那,"1,2,3",nà,Na,đó,not-found,⻏,,,hình thanh,source-backed,2,11,12,,PARTIAL,"hasRadical,hasStrokeCount,hasPdfCandidate"
