char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
挂,"2,3",guà,Quẩy,treo,verified,扌,Bộ Thủ,9,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
按,"2,3",àn,Án,theo,verified,扌,Bộ Thủ,9,hình thanh,source-backed,2,6,8,,PASS,hasPdfCandidate
挡,2,dǎng,,chặn,verified,扌,Bộ Thủ,8,,not-available,0,6,4,,PASS,"hasHanViet,hasComponents,hasFormationType,hasPdfCandidate"
挨,2,āi,,gần,verified,扌,Bộ Thủ,10,hình thanh,source-backed,2,6,4,,PASS,"hasHanViet,hasPdfCandidate"
捎,2,shāo,,mang theo,verified,扌,Bộ Thủ,10,hình thanh,source-backed,2,0,0,,PARTIAL,"hasHanViet,hasRelatedWords,hasSentences,hasPdfCandidate"
捧,2,pěng,Bổng,nâng lên bằng hai tay,verified,扌,Bộ Thủ,11,,not-available,0,6,0,,PARTIAL,"hasComponents,hasFormationType,hasSentences,hasPdfCandidate"
掉,2,diào,Trao,rơi,verified,扌,Bộ Thủ,,hình thanh,source-backed,2,6,2,,PASS,"hasStrokeCount,hasPdfCandidate"
排,"2,3",pái,Bài,xếp hàng,verified,扌,Bộ Thủ,11,hình thanh,source-backed,2,9,11,,PASS,hasPdfCandidate
推,2,tuī,Suy,đẩy,verified,扌,Bộ Thủ,,hình thanh,source-backed,2,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
搬,"2,3",bān,Bưng,"chuyển, di chuyển",verified,扌,Bộ Thủ,13,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
摆,2,bǎi,Bẫy,"đặt, để",verified,扌,Bộ Thủ,14,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
摔,2,shuāi,,ngã,verified,扌,Bộ Thủ,14,hình thanh,source-backed,2,6,4,,PASS,"hasHanViet,hasPdfCandidate"
摸,2,mō,Mò,chạm vào,verified,扌,Bộ Thủ,14,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
擦,2,cā,Xát,"chà, lau",verified,扌,Bộ Thủ,17,hình thanh,source-backed,2,6,2,,PASS,hasPdfCandidate
支,"2,3",zhī,Chi,"chống đỡ, hỗ trợ",verified,支,Bộ Chi,4,,not-available,2,6,12,100,PASS,hasFormationType
收,"2,3",shōu,Thu,nhận,verified,攵,Bộ Phộc,,hình thanh,source-backed,2,10,11,678,PASS,hasStrokeCount
敢,"2,3",gǎn,Cám,dám,verified,攵,Bộ Phộc,12,hình thanh,source-backed,2,6,2,67,PASS,
数,2,shǔ,Số,đếm,verified,攵,Bộ Phộc,,hình thanh,source-backed,2,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
敲,2,qiāo,Xao,gõ,verified,攴,Bộ Phộc,15,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
时,"2,3",shí,thì,thời gian,verified,日,Bộ Nhật,7,,not-available,2,17,12,677,PASS,hasFormationType
晒,2,shài,,phơi nắng,verified,日,Bộ Nhật,10,hình thanh,source-backed,2,6,3,,PASS,"hasHanViet,hasPdfCandidate"
晴,"2,3",qíng,Tạnh,"nắng, trong",verified,日,Bộ Nhật,,hình thanh,source-backed,2,6,0,,PARTIAL,"hasStrokeCount,hasSentences,hasPdfCandidate"
更,"2,3",gèng,Xâu / Canh,hơn,verified,攴,Bộ Phộc,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
替,2,tì,Thế,thay thế,verified,曰,Bộ Viết,12,,not-available,3,6,2,,PASS,"hasFormationType,hasPdfCandidate"
朝,"2,3",cháo,Triều,hướng tới,verified,屮,Bộ Triệt,12,,not-available,4,6,7,,PASS,"hasFormationType,hasPdfCandidate"
查,"2,3",chá,Tra,kiểm tra,verified,木,Bộ Mộc,9,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
栏,2,lán,Đan / Lan,cột,verified,木,Bộ Mộc,9,hình thanh,source-backed,2,7,3,,PASS,hasPdfCandidate
段,"2,3",duàn,Đoạn,đoạn,verified,石,Bộ Thạch,,,not-available,2,6,6,220,PASS,"hasStrokeCount,hasFormationType"
气,2,qì,Khí,"khí, không khí, hơi nước",verified,气,Bộ Khí,4,,not-available,0,15,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
求,2,qiú,Cầu,cầu xin,verified,水,Bộ Thủy,7,,not-available,0,7,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
汤,"2,3",tāng,Thang,"canh, súp",verified,氵,Bộ Thủy,6,hình thanh,source-backed,2,6,3,,PASS,hasPdfCandidate
河,"2,3",hé,Hà,sông,verified,氵,Bộ Thủy,,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
油,2,yóu,Dầu,dầu,verified,氵,Bộ Thủy,10,hình thanh,source-backed,2,8,10,,PASS,hasPdfCandidate
洞,2,dòng,Đọng,lỗ,verified,氵,Bộ Thủy,11,hình thanh,source-backed,2,6,4,225,PASS,
活,"2,3",huó,Hoạt,sống,verified,氵,Bộ Thủy,9,hình thanh,source-backed,2,8,12,280,PASS,
流,2,liú,Lưu,dòng chảy,verified,氵,Bộ Thủy,10,,not-available,3,9,12,,PASS,"hasFormationType,hasPdfCandidate"
海,"2,3",hǎi,Hải,biển,verified,氵,Bộ Thủy,10,hình thanh,source-backed,2,11,12,,PASS,hasPdfCandidate
淡,2,dàn,Đạm,nhạt,verified,氵,Bộ Thủy,11,hình thanh,source-backed,2,7,8,,PASS,hasPdfCandidate
游,"2,3",yóu,du,bơi,verified,氵,Bộ Thủy,12,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
满,2,mǎn,Mãn,đầy đủ,verified,氵,Bộ Thủy,,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
火,"2,3",huǒ,Hoả,lửa,verified,火,Bộ Hỏa,4,,not-available,0,9,12,270,PASS,"hasComponents,hasFormationType"
灯,"2,3",dēng,Đăng,đèn,verified,火,Bộ Hỏa,,hình thanh,source-backed,2,7,3,198,PASS,hasStrokeCount
炸,2,zhá,,chiên ngập dầu,verified,火,Bộ Hỏa,9,hình thanh,source-backed,2,6,3,,PASS,"hasHanViet,hasPdfCandidate"
照,"2,3",zhào,Chiếu,chụp ảnh,verified,灬,Bộ Hỏa,13,hình thanh,source-backed,2,8,12,110,PASS,
煮,2,zhǔ,,đun sôi,verified,灬,Bộ Hỏa,12,hình thanh,source-backed,2,5,5,,PASS,"hasHanViet,hasPdfCandidate"
熟,"2,3",shú,Thục,chín,verified,灬,Bộ Hỏa,15,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
爬,"2,3",pá,Bò,leo,verified,爪,Bộ Trảo,8,hình thanh,source-backed,2,6,3,,PASS,hasPdfCandidate
片,2,piàn,Phiến,miếng,verified,片,Bộ Phiến,,,not-available,0,11,12,510,PASS,"hasStrokeCount,hasComponents,hasFormationType"
牛,"2,3",niú,Ngưu,bò,verified,牛,Bộ Ngưu,4,,not-available,0,6,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
物,2,wù,Vật,"Vật, đồ vật, sự vật",verified,牛,Bộ Ngưu,,hình thanh,source-backed,2,13,12,805,PASS,hasStrokeCount
犯,2,fàn,Phạm,phạm,verified,犭,Bộ Khuyển,5,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
猜,2,cāi,,đoán,verified,犭,Bộ Khuyển,11,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
猪,"2,3",zhū,Trư,lợn,verified,犭,Bộ Khuyển,11,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
瓷,2,cí,Dậu / Sứ,sứ,verified,瓦,Bộ Ngõa,13,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
生,"2,3",shēng,Sinh,"sinh, sinh ra",verified,生,Bộ Sinh,5,,not-available,0,20,12,569,PASS,"hasComponents,hasFormationType"
画,"2,3",huà,Hoạ,"bức tranh, vẽ",verified,聿,Bộ Duật,,,not-available,2,10,7,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
留,2,liú,Lưu,ở lại,verified,田,Bộ Điền,,hình thanh,source-backed,2,9,12,,PASS,"hasStrokeCount,hasPdfCandidate"
痘,2,dòu,Đậu,Đậu,verified,疒,Bộ Nạch,,hình thanh,source-backed,2,5,2,,PASS,"hasStrokeCount,hasPdfCandidate"
登,2,dēng,Đăng,leo lên,verified,舛,Bộ Suyễn,12,hình thanh,source-backed,2,6,2,,PASS,hasPdfCandidate
盐,2,yán,,muối,verified,皿,Bộ Mãnh,10,,not-available,0,6,1,,PASS,"hasHanViet,hasComponents,hasFormationType,hasPdfCandidate"
省,2,shěng,Tỉnh,tiết kiệm,verified,目,Bộ Mục,,hình thanh,source-backed,2,6,6,,PASS,"hasStrokeCount,hasPdfCandidate"
眼,2,yǎn,Cua / Nhản,mắt,verified,目,Bộ Mục,11,hình thanh,source-backed,2,7,9,454,PASS,
短,"2,3",duǎn,Đoản,ngắn,verified,矢,Bộ Thỉ,,hình thanh,source-backed,2,8,7,219,PASS,hasStrokeCount
矮,"2,3",ǎi,,thấp,verified,矢,Bộ Thỉ,13,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
石,2,shí,Thạch,"Đá, hòn đá",verified,石,Bộ Thạch,,,not-available,0,8,12,"493,614",PASS,"hasStrokeCount,hasComponents,hasFormationType"
碰,"2,3",pèng,,"chạm vào, va chạm",verified,石,Bộ Thạch,12,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
离,"2,3",lí,Le,từ,not-found,,,,,not-available,0,6,11,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
科,2,kē,Khoa,bộ phận,verified,禾,Bộ Hòa,9,hội ý,needs-review,2,7,12,323,PASS,
租,2,zū,Dịp / Tô,thuê,verified,禾,Bộ Hòa,,hình thanh,source-backed,2,6,1,,PASS,"hasStrokeCount,hasPdfCandidate"
称,2,chēng,Xưng,gọi,verified,禾,Bộ Hòa,,,not-available,2,6,2,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
立,2,lì,Lập,đứng,verified,立,Bộ Lập,5,,not-available,0,6,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
端,2,duān,Đoan,đầu cuối,verified,立,Bộ Lập,14,hình thanh,source-backed,2,8,9,,PASS,hasPdfCandidate
笔,2,bǐ,Bút,Bút,not-found,⺮,,,,not-available,2,7,9,,PARTIAL,"hasRadical,hasStrokeCount,hasFormationType,hasPdfCandidate"
算,2,suàn,Toán,xem như,not-found,⺮,,,hội ý,needs-review,2,8,10,743,PARTIAL,"hasRadical,hasStrokeCount"
篇,2,piān,,chương,not-found,,,,,not-available,0,6,9,,PARTIAL,"hasHanViet,hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
米,"2,3",mǐ,,mét,verified,米,Bộ Mễ,,,not-available,0,8,12,402,PASS,"hasHanViet,hasStrokeCount,hasComponents,hasFormationType"
粉,2,fěn,Phấn,bột,verified,米,Bộ Mễ,10,hình thanh,source-backed,2,7,9,502,PASS,
粗,2,cū,Thô,thô,verified,米,Bộ Mễ,11,hình thanh,source-backed,2,6,1,,PASS,hasPdfCandidate
紧,"2,3",jǐn,Khẩn,chặt,verified,又,Bộ Hựu,10,hình thanh,source-backed,3,6,8,,PASS,hasPdfCandidate
红,"2,3",hóng,Hồng,đỏ,verified,纟,Bộ Mịch,,hình thanh,source-backed,2,11,12,293,PASS,hasStrokeCount
约,"2,3",yuē,Ước,hẹn,verified,纟,Bộ Mịch,6,hình thanh,source-backed,2,8,12,,PASS,hasPdfCandidate
级,2,jí,Cấp,cấp độ,verified,纟,Bộ Mịch,7,hình thanh,source-backed,2,9,6,,PASS,hasPdfCandidate
纸,"2,3",zhǐ,chỉ,giấy,verified,纟,Bộ Mịch,7,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
练,"2,3",liàn,Luyện,luyện tập,verified,纟,Bộ Mịch,8,hình thanh,source-backed,2,6,8,,PASS,hasPdfCandidate
组,2,zǔ,Tổ,nhóm,verified,纟,Bộ Mịch,,hình thanh,source-backed,2,8,9,,PASS,"hasStrokeCount,hasPdfCandidate"
细,2,xì,Tới,"mỏng, mảnh",verified,纟,Bộ Mịch,8,hình thanh,source-backed,2,8,12,,PASS,hasPdfCandidate
网,2,wǎng,Võng,Internet,verified,网,Bộ Võng,6,,not-available,0,7,12,814,PASS,"hasComponents,hasFormationType"
羊,"2,3",yáng,Dương,cừu,verified,羊,Bộ Dương,6,,not-available,0,7,5,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
群,"2,3",qún,Quần,một từ đo lường cho đàn hoặc nhóm,verified,羊,Bộ Dương,13,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
聚,2,jù,Tụ,tụ tập,verified,耳,Bộ Nhĩ,14,hình thanh,source-backed,2,7,5,,PASS,hasPdfCandidate
胖,"2,3",pàng,Bỡn,béo,verified,月,"Bộ Nguyệt,Nhục",9,hình thanh,source-backed,2,6,3,,PASS,hasPdfCandidate
脆,2,cuì,,giòn,verified,月,"Bộ Nguyệt,Nhục",10,,not-available,0,6,4,,PASS,"hasHanViet,hasComponents,hasFormationType,hasPdfCandidate"
脚,"2,3",jiǎo,,bàn chân,not-found,⺼,,,hình thanh,source-backed,2,6,1,,PARTIAL,"hasHanViet,hasRadical,hasStrokeCount,hasPdfCandidate"
脱,2,tuō,Thoát,cởi,not-found,⺼,,11,hình thanh,source-backed,2,6,2,,PARTIAL,"hasRadical,hasPdfCandidate"
脸,"2,3",liǎn,,mặt,not-found,⺼,,,hình thanh,source-backed,2,6,8,,PARTIAL,"hasHanViet,hasRadical,hasStrokeCount,hasPdfCandidate"
腰,2,yāo,Yêu,eo,verified,月,"Bộ Nguyệt,Nhục",13,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
腿,"2,3",tuǐ,Thoái,chân,not-found,⺼,,,hình thanh,source-backed,2,6,0,,PARTIAL,"hasRadical,hasStrokeCount,hasSentences,hasPdfCandidate"
臭,2,chòu,Xú,hôi thối,verified,自,Bộ Tự,10,,not-available,0,6,4,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
船,"2,3",chuán,Thuyền,"thuyền, tàu",verified,舟,"Bộ Chu,Châu",,hình thanh,source-backed,2,7,4,,PASS,"hasStrokeCount,hasPdfCandidate"
草,"2,3",cǎo,Thảo,cỏ,verified,艹,Bộ Thảo,,hình thanh,source-backed,2,6,8,,PASS,"hasStrokeCount,hasPdfCandidate"
落,2,luò,Lạc,rơi,verified,艹,Bộ Thảo,12,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
葱,2,cōng,,hành lá,verified,艹,Bộ Thảo,12,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
蛋,2,dàn,,trứng,verified,虫,Bộ Trùng,16,hình thanh,source-backed,2,7,12,,PASS,"hasHanViet,hasPdfCandidate"
街,"2,3",jiē,,đường phố,verified,行,Bộ Hành,12,hình thanh,source-backed,2,6,7,,PASS,"hasHanViet,hasPdfCandidate"
表,2,biǎo,Biểu,biểu mẫu,verified,毛,Bộ Mao,8,hội ý,needs-review,2,12,12,,PASS,hasPdfCandidate
装,2,zhuāng,Trang,trang điểm,verified,衣,Bộ Y,,hình thanh,source-backed,2,6,5,,PASS,"hasStrokeCount,hasPdfCandidate"
角,2,jiǎo,Góc,góc,verified,角,"Bộ Giác, Giốc",,,not-available,0,6,2,235,PASS,"hasStrokeCount,hasComponents,hasFormationType"
讲,"2,3",jiǎng,Giảng,"nói, kể",verified,讠,Bộ Ngôn,,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
词,2,cí,từ,từ,verified,讠,Bộ Ngôn,7,hình thanh,source-backed,2,11,12,,PASS,hasPdfCandidate
该,"2,3",gāi,,nên,verified,言,Bộ Ngôn,8,hình thanh,source-backed,2,6,12,,PASS,"hasHanViet,hasPdfCandidate"
贴,2,tiē,,dán,verified,贝,Bộ Bối,12,hình thanh,source-backed,2,6,3,,PASS,"hasHanViet,hasPdfCandidate"
赢,"2,3",yíng,,thắng,verified,贝,Bộ Bối,17,hình thanh,source-backed,2,5,2,172,PASS,hasHanViet
越,"2,3",yuè,Việt,vượt quá,verified,走,Bộ Tẩu,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
跳,"2,3",tiào,Khêu,nhảy,verified,足,Bộ Túc,13,hình thanh,source-backed,2,8,12,,PASS,hasPdfCandidate
踏,2,tà,Đạp,dẫm lên,verified,足,Bộ Túc,15,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
踢,2,tī,,đá,verified,足,Bộ Túc,15,hình thanh,source-backed,2,4,6,,PASS,"hasHanViet,hasPdfCandidate"
转,"2,3",zhuǎn,Chuyển,xoay quanh,verified,车,Bộ Xa,8,hình thanh,source-backed,2,6,8,,PASS,hasPdfCandidate
轻,2,qīng,Khinh,nhẹ,verified,车,Bộ Xa,,hình thanh,source-backed,2,6,11,,PASS,"hasStrokeCount,hasPdfCandidate"
载,2,zài,Tải,chở,verified,车,Bộ Xa,10,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
输,"2,3",shū,Thâu,thua,verified,车,Bộ Xa,13,hình thanh,source-backed,2,6,2,,PASS,hasPdfCandidate
辞,2,cí,Từ,sa thải,verified,辛,Bộ Tân,13,,not-available,0,6,0,,PARTIAL,"hasComponents,hasFormationType,hasSentences,hasPdfCandidate"
辣,2,là,Lượt,cay,verified,辛,Bộ Tân,14,hình thanh,source-backed,2,6,7,,PASS,hasPdfCandidate
近,"2,3",jìn,Cận,gần,verified,辶,Bộ Sước,,hình thanh,source-backed,2,9,12,86,PASS,hasStrokeCount
迷,"2,3",mí,Mê,bối rối,verified,辶,Bộ Sước,9,hình thanh,source-backed,2,8,7,,PASS,hasPdfCandidate
选,"2,3",xuǎn,Tuyển,chọn,verified,辶,Bộ Sước,9,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
通,2,tōng,Thông,thông qua,verified,辶,Bộ Sước,14,hình thanh,source-backed,2,10,12,,PASS,hasPdfCandidate
遍,"2,3",biàn,,lần,verified,辶,Bộ Sước,,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasStrokeCount,hasSentences,hasPdfCandidate"
遮,2,zhē,,che,verified,辶,Bộ Sước,14,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
部,"2,3",bù,Bộ,quyển,ambiguous,阝,,11,hình thanh,source-backed,2,14,12,53,PARTIAL,hasRadical
酸,2,suān,,chua,verified,酉,Bộ Dậu,14,,not-available,0,7,4,,PASS,"hasHanViet,hasComponents,hasFormationType,hasPdfCandidate"
醋,"2,3",cù,,giấm,verified,酉,Bộ Dậu,15,,not-available,0,6,4,,PASS,"hasHanViet,hasComponents,hasFormationType,hasPdfCandidate"
醒,2,xǐng,Tỉnh,tỉnh giấc,verified,酉,Bộ Dậu,16,hình thanh,source-backed,2,6,4,740,PASS,
量,2,liàng,,dung lượng,verified,里,Bộ Lí,12,hình thanh,source-backed,2,9,12,,PASS,"hasHanViet,hasPdfCandidate"
锅,2,guō,,nồi,verified,钅,Bộ Kim,12,hình thanh,source-backed,2,8,12,,PASS,"hasHanViet,hasPdfCandidate"
闻,2,wén,Văn,ngửi,verified,耳,Bộ Nhĩ,,hình thanh,source-backed,2,7,11,,PASS,"hasStrokeCount,hasPdfCandidate"
队,2,duì,Đội,"đội, nhóm",ambiguous,阝,,4,,not-available,2,8,12,,PARTIAL,"hasRadical,hasFormationType,hasPdfCandidate"
阴,"2,3",yīn,Âm,u ám,ambiguous,阝,,,,not-available,0,7,0,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasSentences,hasPdfCandidate"
院,2,yuàn,Viện,viện,ambiguous,阝,,10,hình thanh,source-backed,2,12,12,,PARTIAL,"hasRadical,hasPdfCandidate"
陪,2,péi,,đi cùng,ambiguous,阝,,10,hình thanh,source-backed,2,6,4,,PARTIAL,"hasHanViet,hasRadical,hasPdfCandidate"
靠,2,kào,,phụ thuộc vào,verified,非,Bộ Phi,15,hình thanh,source-backed,2,6,5,,PASS,"hasHanViet,hasPdfCandidate"
面,2,miàn,,một từ đo lường cho các bề mặt phẳng,verified,面,Bộ Diện,9,,not-available,2,20,12,168,PASS,"hasHanViet,hasFormationType"
鞋,"2,3",xié,Hài,giày,verified,革,Bộ Cách,,hình thanh,source-backed,2,6,10,,PASS,"hasStrokeCount,hasPdfCandidate"
顿,"2,3",dùn,Đốn,một bữa,verified,页,Bộ Hiệt,10,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
飘,2,piāo,,bay lượn trong không khí,not-found,风,,15,hình thanh,source-backed,2,6,4,,PARTIAL,"hasHanViet,hasRadical,hasPdfCandidate"
饱,"2,3",bǎo,,no,verified,饣,Bộ Thực,,hình thanh,source-backed,2,6,0,33,PARTIAL,"hasHanViet,hasStrokeCount,hasSentences"
馋,2,chán,Thèm,háu ăn,verified,饣,Bộ Thực,13,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
香,"2,3",xiāng,Hương,thơm,verified,禾,Bộ Hòa,9,hội ý,needs-review,2,6,7,303,PASS,
马,"2,3",mǎ,Mã,ngựa,verified,马,Bộ Mã,3,,not-available,0,9,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
鸡,"2,3",jī,,gà,verified,鸟,Bộ Điểu,7,,not-available,2,6,6,,PASS,"hasHanViet,hasFormationType,hasPdfCandidate"
鼠,2,shǔ,,chuột,verified,鼠,Bộ Thử,13,,not-available,0,6,0,698,PARTIAL,"hasHanViet,hasComponents,hasFormationType,hasSentences"
龙,"2,3",lóng,Long,rồng,not-found,,,5,,not-available,0,6,7,,PARTIAL,"hasRadical,hasComponents,hasFormationType,hasPdfCandidate"
久,3,jiǔ,Cửu,"lâu, đã lâu",not-found,,,,,not-available,0,8,12,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
乐,3,lè,Lạc,vui vẻ,verified,幺,Bộ Yêu,5,,not-available,0,13,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
争,3,zhēng,Tranh,tranh đấu,verified,又,Bộ Hựu,6,,not-available,3,6,4,,PASS,"hasFormationType,hasPdfCandidate"
亲,3,qīn,Thân,liên quan đến huyết thống,verified,辛,Bộ Tân,9,hình thanh,source-backed,3,10,12,633,PASS,
仅,3,jǐn,,chỉ,verified,亻,Bộ Nhân,4,,not-available,2,6,4,,PASS,"hasHanViet,hasFormationType,hasPdfCandidate"
仍,3,réng,Nhưng,vẫn,verified,亻,Bộ Nhân,4,hình thanh,source-backed,2,3,4,,PASS,hasPdfCandidate
付,3,fù,Phó,trả,verified,亻,Bộ Nhân,5,hội ý,needs-review,2,6,2,,PASS,hasPdfCandidate
代,3,dài,Đại,thay mặt,verified,亻,Bộ Nhân,5,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
任,3,rèn,Nhậm,phục vụ trong một vị trí,verified,亻,Bộ Nhân,6,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
传,3,chuán,Truyền,truyền,verified,亻,Bộ Nhân,6,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
伤,3,shāng,Thương,vết thương,verified,亻,Bộ Nhân,6,hội ý,needs-review,3,6,12,,PASS,hasPdfCandidate
佛,3,fó,Phật,Phật,verified,亻,Bộ Nhân,7,hình thanh,source-backed,2,6,8,,PASS,hasPdfCandidate
使,3,shǐ,Sứ,khiến,verified,亻,Bộ Nhân,,,not-available,3,7,10,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
保,3,bǎo,Bảo,bảo quản,verified,亻,Bộ Nhân,9,,not-available,3,12,12,,PASS,"hasFormationType,hasPdfCandidate"
修,3,xiū,Tu,sửa chữa,verified,彡,Bộ Sam,,hình thanh,source-backed,2,7,9,,PASS,"hasStrokeCount,hasPdfCandidate"
值,3,zhí,,"giá, giá trị",verified,亻,Bộ Nhân,10,hình thanh,source-backed,2,6,4,,PASS,"hasHanViet,hasPdfCandidate"
光,3,guāng,Quang,ánh sáng,verified,火,Bộ Hỏa,,,not-available,2,10,12,544,PASS,"hasStrokeCount,hasFormationType"
内,3,nèi,Nội,bên trong,verified,入,Bộ Nhập,,,not-available,2,7,12,484,PASS,"hasStrokeCount,hasFormationType"
冰,3,bīng,Băng,"băng, đá",verified,水,Bộ Thủy,6,,not-available,2,7,11,37,PASS,hasFormationType
准,3,zhǔn,Chốn,chính xác,verified,冫,Bộ Băng,10,,not-available,2,7,12,,PASS,"hasFormationType,hasPdfCandidate"
刀,3,dāo,Đao,dao,verified,刀,Bộ Đao,,,not-available,0,6,2,,PASS,"hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
初,3,chū,Sơ,bắt đầu,verified,衤,Bộ Y,7,hội ý,needs-review,2,8,9,,PASS,hasPdfCandidate
刮,3,guā,,cạo,verified,刂,Bộ Đao,8,hình thanh,source-backed,2,6,1,,PASS,"hasHanViet,hasPdfCandidate"
刷,3,shuā,Loát,sơn,verified,刂,Bộ Đao,8,,not-available,2,6,1,,PASS,"hasFormationType,hasPdfCandidate"
力,3,lì,Lực,sức mạnh,verified,力,Bộ Lực,2,,not-available,0,11,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
化,3,huà,Hoá,thay đổi,verified,亻,Bộ Nhân,4,,not-available,2,9,12,271,PASS,hasFormationType
区,3,qū,Khu,khu vực,verified,匚,Bộ Phương,4,,not-available,0,7,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
厂,3,chǎng,xưởng,nhà máy,verified,厂,Bộ,2,,not-available,0,6,11,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
压,3,yā,Áp,"ấn, đè xuống",verified,土,Bộ Thổ,6,hình thanh,source-backed,2,6,9,,PASS,hasPdfCandidate
双,3,shuāng,Song,"hai, cặp",verified,又,Bộ Hựu,,,not-available,0,6,11,574,PASS,"hasStrokeCount,hasComponents,hasFormationType"
受,3,shòu,Thụ,nhận,verified,又,Bộ Hựu,8,hình thanh,source-backed,3,8,12,690,PASS,
古,3,gǔ,Cổ,cổ,verified,口,Bộ Khẩu,5,,not-available,0,7,12,124,PASS,"hasComponents,hasFormationType"
台,3,tái,Thai,cái,verified,口,Bộ Khẩu,,hình thanh,source-backed,2,9,12,,PASS,"hasStrokeCount,hasPdfCandidate"
合,3,hé,Hợp,hợp,verified,口,Bộ Khẩu,6,,not-available,2,15,12,294,PASS,hasFormationType
员,3,yuán,Viên,nhân viên,verified,口,Bộ Khẩu,7,,not-available,2,12,12,,PASS,"hasFormationType,hasPdfCandidate"
命,3,mìng,Mệnh,số phận,verified,口,Bộ Khẩu,8,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
嘿,3,hēi,,này,verified,口,Bộ Khẩu,15,hình thanh,source-backed,2,1,3,,PASS,"hasHanViet,hasPdfCandidate"
团,3,tuán,Đoàn,nhóm,verified,囗,Bộ Vi,,,not-available,2,8,12,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
