char,tier,status,inputForm,mainForm,radicalName,kangxiNo,resolutionType,source
㐄,C,not-resolved,,,,,not-resolved,data/chars/3404.json
㐅,C,not-resolved,,,,,not-resolved,data/chars/3405.json
㐆,C,not-resolved,,,,,not-resolved,data/chars/3406.json
㐌,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/340C.json
㐖,C,not-resolved,,,,,not-resolved,data/chars/3416.json
㐜,C,not-resolved,,,,,not-resolved,data/chars/341C.json
㐡,C,not-resolved,,,,,not-resolved,data/chars/3421.json
㐤,C,not-resolved,,,,,not-resolved,data/chars/3424.json
㐫,C,not-resolved,,,,,not-resolved,data/chars/342B.json
㐬,C,not-resolved,,,,,not-resolved,data/chars/342C.json
㐭,C,not-resolved,,,,,not-resolved,data/chars/342D.json
㐰,C,not-resolved,,,,,not-resolved,data/chars/3430.json
㐱,C,resolved,彡,彡,Bộ Sam,59,record-radical,data/chars/3431.json
㐷,C,not-resolved,,,,,not-resolved,data/chars/3437.json
㐺,C,not-resolved,,,,,not-resolved,data/chars/343A.json
㑇,C,not-resolved,,,,,not-resolved,data/chars/3447.json
㑩,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/3469.json
㒳,C,not-resolved,,,,,not-resolved,data/chars/34B3.json
㒸,B,resolved,八,八,Bộ Bát,12,record-radical,data/chars/34B8.json
㒼,C,not-resolved,◎,,,,not-resolved,data/chars/34BC.json
㓞,C,resolved,刀,刀,Bộ Đao,18,record-radical,data/chars/34DE.json
㔾,C,not-resolved,,,,,not-resolved,data/chars/353E.json
㕡,C,not-resolved,,,,,not-resolved,data/chars/3561.json
㕥,C,not-resolved,,,,,not-resolved,data/chars/3565.json
㕯,C,not-resolved,,,,,not-resolved,data/chars/356F.json
㕻,C,not-resolved,,,,,not-resolved,data/chars/357B.json
㖊,C,not-resolved,,,,,not-resolved,data/chars/358A.json
㖞,C,not-resolved,,,,,not-resolved,data/chars/359E.json
㗂,C,not-resolved,,,,,not-resolved,data/chars/35C2.json
㗎,C,not-resolved,,,,,not-resolved,data/chars/35CE.json
㚔,C,not-resolved,,,,,not-resolved,data/chars/3694.json
㚻,C,not-resolved,,,,,not-resolved,data/chars/36BB.json
㛀,C,not-resolved,,,,,not-resolved,data/chars/36C0.json
㛂,C,not-resolved,,,,,not-resolved,data/chars/36C2.json
㝄,C,not-resolved,,,,,not-resolved,data/chars/3744.json
㝇,C,not-resolved,,,,,not-resolved,data/chars/3747.json
㝉,B,resolved,宀,宀,Bộ Miên,40,record-radical,data/chars/3749.json
㝵,B,resolved,貝,貝,Bộ Bối,154,record-radical,data/chars/3775.json
㞎,C,not-resolved,,,,,not-resolved,data/chars/378E.json
㞗,C,not-resolved,,,,,not-resolved,data/chars/3797.json
㞙,C,not-resolved,,,,,not-resolved,data/chars/3799.json
㟥,C,not-resolved,,,,,not-resolved,data/chars/37E5.json
㡭,C,not-resolved,,,,,not-resolved,data/chars/386D.json
㡿,C,not-resolved,,,,,not-resolved,data/chars/387F.json
㢆,C,not-resolved,,,,,not-resolved,data/chars/3886.json
㢟,C,not-resolved,,,,,not-resolved,data/chars/389F.json
㢲,C,not-resolved,,,,,not-resolved,data/chars/38B2.json
㢴,C,not-resolved,,,,,not-resolved,data/chars/38B4.json
㣎,C,not-resolved,,,,,not-resolved,data/chars/38CE.json
㤅,C,not-resolved,,,,,not-resolved,data/chars/3905.json
㤽,C,not-resolved,,,,,not-resolved,data/chars/393D.json
㥁,C,not-resolved,,,,,not-resolved,data/chars/3941.json
㥏,C,not-resolved,,,,,not-resolved,data/chars/394F.json
㥯,B,resolved,心,心,Bộ Tâm,61,record-radical,data/chars/396F.json
㦂,C,not-resolved,,,,,not-resolved,data/chars/3982.json
㧑,C,not-resolved,,,,,not-resolved,data/chars/39D1.json
㧜,C,not-resolved,,,,,not-resolved,data/chars/39DC.json
㧯,C,not-resolved,,,,,not-resolved,data/chars/39EF.json
㧰,C,not-resolved,,,,,not-resolved,data/chars/39F0.json
㨃,C,not-resolved,,,,,not-resolved,data/chars/3A03.json
㨫,C,not-resolved,,,,,not-resolved,data/chars/3A2B.json
㩐,C,not-resolved,,,,,not-resolved,data/chars/3A50.json
㪃,C,not-resolved,,,,,not-resolved,data/chars/3A83.json
㪋,C,not-resolved,,,,,not-resolved,data/chars/3A8B.json
㫃,C,not-resolved,,,,,not-resolved,data/chars/3AC3.json
㫺,C,not-resolved,,,,,not-resolved,data/chars/3AFA.json
㬎,C,not-resolved,,,,,not-resolved,data/chars/3B0E.json
㮎,C,not-resolved,,,,,not-resolved,data/chars/3B8E.json
㮚,C,not-resolved,,,,,not-resolved,data/chars/3B9A.json
㮸,C,not-resolved,,,,,not-resolved,data/chars/3BB8.json
㯳,C,not-resolved,,,,,not-resolved,data/chars/3BF3.json
㱩,C,not-resolved,,,,,not-resolved,data/chars/3C69.json
㱮,C,not-resolved,,,,,not-resolved,data/chars/3C6E.json
㱾,C,not-resolved,,,,,not-resolved,data/chars/3C7E.json
㲈,C,not-resolved,,,,,not-resolved,data/chars/3C88.json
㲋,C,not-resolved,,,,,not-resolved,data/chars/3C8B.json
㲱,C,not-resolved,,,,,not-resolved,data/chars/3CB1.json
㲾,C,not-resolved,,,,,not-resolved,data/chars/3CBE.json
㳂,C,not-resolved,,,,,not-resolved,data/chars/3CC2.json
㳮,C,not-resolved,,,,,not-resolved,data/chars/3CEE.json
㴋,C,not-resolved,,,,,not-resolved,data/chars/3D0B.json
㵪,C,not-resolved,,,,,not-resolved,data/chars/3D6A.json
㵮,C,not-resolved,,,,,not-resolved,data/chars/3D6E.json
㶉,C,not-resolved,,,,,not-resolved,data/chars/3D89.json
㶶,C,not-resolved,,,,,not-resolved,data/chars/3DB6.json
㶸,C,not-resolved,,,,,not-resolved,data/chars/3DB8.json
㷖,C,not-resolved,,,,,not-resolved,data/chars/3DD6.json
㷭,C,not-resolved,,,,,not-resolved,data/chars/3DED.json
㹠,C,not-resolved,,,,,not-resolved,data/chars/3E60.json
㹢,C,not-resolved,,,,,not-resolved,data/chars/3E62.json
㹴,C,not-resolved,,,,,not-resolved,data/chars/3E74.json
㺍,C,not-resolved,,,,,not-resolved,data/chars/3E8D.json
㺢,C,not-resolved,,,,,not-resolved,data/chars/3EA2.json
㺵,C,not-resolved,,,,,not-resolved,data/chars/3EB5.json
㻅,C,not-resolved,,,,,not-resolved,data/chars/3EC5.json
㻽,C,not-resolved,,,,,not-resolved,data/chars/3EFD.json
㼌,C,not-resolved,,,,,not-resolved,data/chars/3F0C.json
㽮,C,not-resolved,,,,,not-resolved,data/chars/3F6E.json
㿝,C,not-resolved,,,,,not-resolved,data/chars/3FDD.json
㿽,C,resolved,皿,皿,Bộ Mãnh,108,record-radical,data/chars/3FFD.json
䁖,B,resolved,目,目,Bộ Mục,109,record-radical,data/chars/4056.json
䂖,C,not-resolved,,,,,not-resolved,data/chars/4096.json
䂲,C,not-resolved,,,,,not-resolved,data/chars/40B2.json
䂶,C,not-resolved,,,,,not-resolved,data/chars/40B6.json
䃉,C,not-resolved,,,,,not-resolved,data/chars/40C9.json
䅟,C,not-resolved,,,,,not-resolved,data/chars/415F.json
䅵,C,not-resolved,,,,,not-resolved,data/chars/4175.json
䇂,C,not-resolved,,,,,not-resolved,data/chars/41C2.json
䇲,C,not-resolved,,,,,not-resolved,data/chars/41F2.json
䉤,C,not-resolved,,,,,not-resolved,data/chars/4264.json
䌷,C,not-resolved,,,,,not-resolved,data/chars/4337.json
䌸,C,not-resolved,,,,,not-resolved,data/chars/4338.json
䌹,C,not-resolved,,,,,not-resolved,data/chars/4339.json
䌽,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/433D.json
䍁,C,not-resolved,,,,,not-resolved,data/chars/4341.json
䍃,B,resolved,缶,缶,"Bộ Phẫu, Phữu",121,record-radical,data/chars/4343.json
䍹,C,not-resolved,,,,,not-resolved,data/chars/4379.json
䒗,C,not-resolved,,,,,not-resolved,data/chars/4497.json
䓕,B,resolved,艹,艸,Bộ Thảo,140,record-radical,data/chars/44D5.json
䓖,B,resolved,艹,艸,Bộ Thảo,140,record-radical,data/chars/44D6.json
䔢,C,not-resolved,,,,,not-resolved,data/chars/4522.json
䕭,B,resolved,艹,艸,Bộ Thảo,140,record-radical,data/chars/456D.json
䖒,C,not-resolved,,,,,not-resolved,data/chars/4592.json
䖟,C,not-resolved,,,,,not-resolved,data/chars/459F.json
䖸,C,not-resolved,,,,,not-resolved,data/chars/45B8.json
䗈,C,not-resolved,,,,,not-resolved,data/chars/45C8.json
䗖,B,resolved,虫,虫,Bộ Trùng,142,record-radical,data/chars/45D6.json
䗥,C,not-resolved,,,,,not-resolved,data/chars/45E5.json
䗪,C,not-resolved,,,,,not-resolved,data/chars/45EA.json
䗶,C,not-resolved,,,,,not-resolved,data/chars/45F6.json
䙓,C,not-resolved,,,,,not-resolved,data/chars/4653.json
䙴,C,not-resolved,㔾,,,,not-resolved,data/chars/4674.json
䛟,C,not-resolved,,,,,not-resolved,data/chars/46DF.json
䜌,C,not-resolved,,,,,not-resolved,data/chars/470C.json
䜣,B,resolved,言,言,Bộ Ngôn,149,record-radical,data/chars/4723.json
䜩,B,resolved,言,言,Bộ Ngôn,149,record-radical,data/chars/4729.json
䝓,C,not-resolved,,,,,not-resolved,data/chars/4753.json
䝙,C,not-resolved,,,,,not-resolved,data/chars/4759.json
䞓,C,not-resolved,,,,,not-resolved,data/chars/4793.json
䟆,C,not-resolved,,,,,not-resolved,data/chars/47C6.json
䟖,C,not-resolved,,,,,not-resolved,data/chars/47D6.json
䠀,B,resolved,足,足,Bộ Túc,157,record-radical,data/chars/4800.json
䠞,C,not-resolved,,,,,not-resolved,data/chars/481E.json
䤈,C,not-resolved,,,,,not-resolved,data/chars/4908.json
䥯,C,not-resolved,,,,,not-resolved,data/chars/496F.json
䦆,C,not-resolved,,,,,not-resolved,data/chars/4986.json
䦉,C,not-resolved,,,,,not-resolved,data/chars/4989.json
䦕,C,not-resolved,,,,,not-resolved,data/chars/4995.json
䧹,C,resolved,爿,爿,Bộ,90,record-radical,data/chars/49F9.json
䩄,B,resolved,面,面,Bộ Diện,176,record-radical,data/chars/4A44.json
䩦,C,not-resolved,,,,,not-resolved,data/chars/4A66.json
䫏,C,not-resolved,,,,,not-resolved,data/chars/4ACF.json
䬠,C,not-resolved,,,,,not-resolved,data/chars/4B20.json
䬪,C,not-resolved,,,,,not-resolved,data/chars/4B2A.json
䯄,C,not-resolved,,,,,not-resolved,data/chars/4BC4.json
䯝,C,not-resolved,,,,,not-resolved,data/chars/4BDD.json
䲔,C,not-resolved,,,,,not-resolved,data/chars/4C94.json
䲟,C,not-resolved,,,,,not-resolved,data/chars/4C9F.json
䲠,B,resolved,魚,魚,Bộ Ngư,195,record-radical,data/chars/4CA0.json
䳗,C,not-resolved,,,,,not-resolved,data/chars/4CD7.json
䴓,C,not-resolved,,,,,not-resolved,data/chars/4D13.json
䴔,C,not-resolved,,,,,not-resolved,data/chars/4D14.json
䴕,C,not-resolved,,,,,not-resolved,data/chars/4D15.json
䴘,B,resolved,鳥,鳥,Bộ Điểu,196,record-radical,data/chars/4D18.json
䴙,B,resolved,鳥,鳥,Bộ Điểu,196,record-radical,data/chars/4D19.json
䵹,C,not-resolved,,,,,not-resolved,data/chars/4D79.json
䶑,C,not-resolved,,,,,not-resolved,data/chars/4D91.json
䶮,C,not-resolved,,,,,not-resolved,data/chars/4DAE.json
一,A,resolved,一,一,Bộ Nhất,1,self-radical,radical_learning_notes.json
丁,C,not-resolved,,,,,not-resolved,data/chars/4E01.json
丂,C,not-resolved,,,,,not-resolved,data/chars/4E02.json
七,C,not-resolved,,,,,not-resolved,data/chars/4E03.json
丄,C,not-resolved,,,,,not-resolved,data/chars/4E04.json
丅,C,not-resolved,,,,,not-resolved,data/chars/4E05.json
丆,C,not-resolved,,,,,not-resolved,data/chars/4E06.json
万,C,not-resolved,,,,,not-resolved,data/chars/4E07.json
丈,A,resolved,十,十,Bộ Thập,24,record-radical,data/chars/4E08.json
三,C,not-resolved,,,,,not-resolved,data/chars/4E09.json
上,C,not-resolved,,,,,not-resolved,data/chars/4E0A.json
下,C,not-resolved,,,,,not-resolved,data/chars/4E0B.json
丌,C,not-resolved,,,,,not-resolved,data/chars/4E0C.json
不,C,not-resolved,,,,,not-resolved,data/chars/4E0D.json
与,C,not-resolved,舁,,,,not-resolved,data/chars/4E0E.json
丏,C,not-resolved,,,,,not-resolved,data/chars/4E0F.json
丐,C,not-resolved,,,,,not-resolved,data/chars/4E10.json
丑,C,not-resolved,,,,,not-resolved,data/chars/4E11.json
丒,C,not-resolved,,,,,not-resolved,data/chars/4E12.json
专,C,not-resolved,叀,,,,not-resolved,data/chars/4E13.json
且,C,not-resolved,,,,,not-resolved,data/chars/4E14.json
丕,C,not-resolved,,,,,not-resolved,data/chars/4E15.json
世,C,not-resolved,,,,,not-resolved,data/chars/4E16.json
丗,C,not-resolved,,,,,not-resolved,data/chars/4E17.json
丘,C,not-resolved,,,,,not-resolved,data/chars/4E18.json
丙,C,not-resolved,,,,,not-resolved,data/chars/4E19.json
业,C,not-resolved,,,,,not-resolved,data/chars/4E1A.json
丛,A,resolved,一,一,Bộ Nhất,1,record-radical,data/chars/4E1B.json
东,C,not-resolved,,,,,not-resolved,data/chars/4E1C.json
丝,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/4E1D.json
丞,B,resolved,一,一,Bộ Nhất,1,record-radical,data/chars/4E1E.json
丠,C,not-resolved,,,,,not-resolved,data/chars/4E20.json
両,C,not-resolved,,,,,not-resolved,data/chars/4E21.json
丢,A,resolved,一,一,Bộ Nhất,1,record-radical,data/chars/4E22.json
丣,C,not-resolved,,,,,not-resolved,data/chars/4E23.json
两,C,not-resolved,,,,,not-resolved,data/chars/4E24.json
严,C,not-resolved,喦,,,,not-resolved,data/chars/4E25.json
丧,C,not-resolved,,,,,not-resolved,data/chars/4E27.json
丨,B,resolved,丨,丨,"Bộ Thụ, Cổn",2,self-radical,radical_learning_notes.json
丩,C,not-resolved,,,,,not-resolved,data/chars/4E29.json
个,C,not-resolved,,,,,not-resolved,data/chars/4E2A.json
丫,C,not-resolved,,,,,not-resolved,data/chars/4E2B.json
丬,C,not-resolved,,,,,not-resolved,data/chars/4E2C.json
中,C,not-resolved,,,,,not-resolved,data/chars/4E2D.json
丮,C,not-resolved,,,,,not-resolved,data/chars/4E2E.json
丰,C,not-resolved,,,,,not-resolved,data/chars/4E30.json
丱,C,not-resolved,,,,,not-resolved,data/chars/4E31.json
串,C,not-resolved,,,,,not-resolved,data/chars/4E32.json
丳,C,not-resolved,,,,,not-resolved,data/chars/4E33.json
临,C,not-resolved,监,,,,not-resolved,data/chars/4E34.json
丵,C,not-resolved,,,,,not-resolved,data/chars/4E35.json
丶,B,resolved,丶,丶,Bộ Chủ,3,self-radical,radical_learning_notes.json
丷,C,not-resolved,,,,,not-resolved,data/chars/4E37.json
丸,C,not-resolved,,,,,not-resolved,data/chars/4E38.json
丹,C,not-resolved,,,,,not-resolved,data/chars/4E39.json
为,A,resolved,又,又,Bộ Hựu,29,record-radical,data/chars/4E3A.json
主,C,not-resolved,,,,,not-resolved,data/chars/4E3B.json
丼,C,not-resolved,,,,,not-resolved,data/chars/4E3C.json
丽,C,not-resolved,◎,,,,not-resolved,data/chars/4E3D.json
举,A,resolved,手,手,Bộ Thủ,64,record-radical,data/chars/4E3E.json
丿,B,resolved,丿,丿,"Bộ Phách, Phiệt",4,self-radical,radical_learning_notes.json
乀,C,not-resolved,,,,,not-resolved,data/chars/4E40.json
乂,C,not-resolved,,,,,not-resolved,data/chars/4E42.json
乃,C,not-resolved,,,,,not-resolved,data/chars/4E43.json
久,C,not-resolved,,,,,not-resolved,data/chars/4E45.json
乆,C,not-resolved,,,,,not-resolved,data/chars/4E46.json
乇,C,not-resolved,,,,,not-resolved,data/chars/4E47.json
么,C,not-resolved,,,,,not-resolved,data/chars/4E48.json
义,A,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/4E49.json
乊,C,not-resolved,,,,,not-resolved,data/chars/4E4A.json
之,C,not-resolved,,,,,not-resolved,data/chars/4E4B.json
乌,C,not-resolved,,,,,not-resolved,data/chars/4E4C.json
乍,C,not-resolved,,,,,not-resolved,data/chars/4E4D.json
乎,C,not-resolved,丂,,,,not-resolved,data/chars/4E4E.json
乏,C,not-resolved,之,,,,not-resolved,data/chars/4E4F.json
乐,A,resolved,幺,幺,Bộ Yêu,52,record-radical,data/chars/4E50.json
乑,C,not-resolved,,,,,not-resolved,data/chars/4E51.json
乒,C,not-resolved,,,,,not-resolved,data/chars/4E52.json
乓,C,not-resolved,,,,,not-resolved,data/chars/4E53.json
乔,A,resolved,大,大,Bộ Đại,37,record-radical,data/chars/4E54.json
乕,C,not-resolved,,,,,not-resolved,data/chars/4E55.json
乖,C,not-resolved,,,,,not-resolved,data/chars/4E56.json
乗,C,not-resolved,,,,,not-resolved,data/chars/4E57.json
乘,A,resolved,人,人,Bộ Nhân,9,record-radical,data/chars/4E58.json
乙,A,resolved,乙,乙,Bộ Ất,5,self-radical,radical_learning_notes.json
乚,C,not-resolved,,,,,not-resolved,data/chars/4E5A.json
乛,C,not-resolved,,,,,not-resolved,data/chars/4E5B.json
乜,C,not-resolved,,,,,not-resolved,data/chars/4E5C.json
九,C,not-resolved,,,,,not-resolved,data/chars/4E5D.json
乞,C,not-resolved,,,,,not-resolved,data/chars/4E5E.json
也,C,not-resolved,,,,,not-resolved,data/chars/4E5F.json
习,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/4E60.json
乡,A,resolved,卩,卩,Bộ Tiết,26,record-radical,data/chars/4E61.json
乢,C,not-resolved,,,,,not-resolved,data/chars/4E62.json
乣,C,not-resolved,,,,,not-resolved,data/chars/4E63.json
乤,C,not-resolved,,,,,not-resolved,data/chars/4E64.json
乥,C,not-resolved,,,,,not-resolved,data/chars/4E65.json
书,A,resolved,聿,聿,Bộ Duật,129,record-radical,data/chars/4E66.json
乧,C,not-resolved,,,,,not-resolved,data/chars/4E67.json
乨,C,not-resolved,,,,,not-resolved,data/chars/4E68.json
乩,C,not-resolved,占,,,,not-resolved,data/chars/4E69.json
乪,C,not-resolved,,,,,not-resolved,data/chars/4E6A.json
乫,C,not-resolved,,,,,not-resolved,data/chars/4E6B.json
乭,C,not-resolved,,,,,not-resolved,data/chars/4E6D.json
买,A,resolved,网,网,Bộ Võng,122,record-radical,data/chars/4E70.json
乱,A,resolved,舌,舌,Bộ Thiệt,135,record-radical,data/chars/4E71.json
乳,C,not-resolved,乚,,,,not-resolved,data/chars/4E73.json
乴,C,not-resolved,,,,,not-resolved,data/chars/4E74.json
乵,C,not-resolved,,,,,not-resolved,data/chars/4E75.json
乶,B,resolved,乙,乙,Bộ Ất,5,record-radical,data/chars/4E76.json
乷,C,not-resolved,,,,,not-resolved,data/chars/4E77.json
乸,C,not-resolved,,,,,not-resolved,data/chars/4E78.json
乺,C,not-resolved,,,,,not-resolved,data/chars/4E7A.json
乼,C,not-resolved,,,,,not-resolved,data/chars/4E7C.json
乾,C,not-resolved,倝,,,,not-resolved,data/chars/4E7E.json
乿,C,not-resolved,,,,,not-resolved,data/chars/4E7F.json
亀,C,not-resolved,,,,,not-resolved,data/chars/4E80.json
亃,C,not-resolved,,,,,not-resolved,data/chars/4E83.json
亄,C,not-resolved,,,,,not-resolved,data/chars/4E84.json
亅,B,resolved,亅,亅,Bộ Quyết,6,self-radical,radical_learning_notes.json
了,C,not-resolved,,,,,not-resolved,data/chars/4E86.json
亇,C,not-resolved,,,,,not-resolved,data/chars/4E87.json
予,C,not-resolved,,,,,not-resolved,data/chars/4E88.json
争,A,resolved,又,又,Bộ Hựu,29,record-radical,data/chars/4E89.json
亊,C,not-resolved,,,,,not-resolved,data/chars/4E8A.json
事,C,not-resolved,◎,,,,not-resolved,data/chars/4E8B.json
二,A,resolved,二,二,Bộ Nhị,7,self-radical,radical_learning_notes.json
亍,C,not-resolved,,,,,not-resolved,data/chars/4E8D.json
于,C,not-resolved,,,,,not-resolved,data/chars/4E8E.json
亏,C,not-resolved,,,,,not-resolved,data/chars/4E8F.json
亐,C,not-resolved,,,,,not-resolved,data/chars/4E90.json
云,C,not-resolved,,,,,not-resolved,data/chars/4E91.json
互,C,not-resolved,,,,,not-resolved,data/chars/4E92.json
亓,C,not-resolved,,,,,not-resolved,data/chars/4E93.json
五,C,not-resolved,,,,,not-resolved,data/chars/4E94.json
井,C,not-resolved,,,,,not-resolved,data/chars/4E95.json
亖,C,not-resolved,,,,,not-resolved,data/chars/4E96.json
亘,C,not-resolved,,,,,not-resolved,data/chars/4E98.json
亚,C,not-resolved,,,,,not-resolved,data/chars/4E9A.json
些,C,not-resolved,此,,,,not-resolved,data/chars/4E9B.json
亜,C,not-resolved,,,,,not-resolved,data/chars/4E9C.json
亝,C,not-resolved,,,,,not-resolved,data/chars/4E9D.json
亟,B,resolved,口,口,Bộ Khẩu,30,record-radical,data/chars/4E9F.json
亠,B,resolved,亠,亠,Bộ Đầu,8,self-radical,radical_learning_notes.json
亡,C,not-resolved,,,,,not-resolved,data/chars/4EA1.json
亢,C,not-resolved,,,,,not-resolved,data/chars/4EA2.json
交,C,not-resolved,,,,,not-resolved,data/chars/4EA4.json
亥,C,not-resolved,,,,,not-resolved,data/chars/4EA5.json
亦,A,resolved,大,大,Bộ Đại,37,record-radical,data/chars/4EA6.json
产,A,resolved,生,生,Bộ Sinh,100,record-radical,data/chars/4EA7.json
亨,C,not-resolved,,,,,not-resolved,data/chars/4EA8.json
亩,B,resolved,田,田,Bộ Điền,102,record-radical,data/chars/4EA9.json
亪,C,not-resolved,,,,,not-resolved,data/chars/4EAA.json
享,C,not-resolved,,,,,not-resolved,data/chars/4EAB.json
京,C,not-resolved,,,,,not-resolved,data/chars/4EAC.json
亭,C,not-resolved,京,,,,not-resolved,data/chars/4EAD.json
亮,A,resolved,人,人,Bộ Nhân,9,record-radical,data/chars/4EAE.json
亲,A,resolved,辛,辛,Bộ Tân,160,record-radical,data/chars/4EB2.json
亳,C,not-resolved,,,,,not-resolved,data/chars/4EB3.json
亵,C,not-resolved,,,,,not-resolved,data/chars/4EB5.json
亶,C,not-resolved,旦,,,,not-resolved,data/chars/4EB6.json
亸,C,not-resolved,,,,,not-resolved,data/chars/4EB8.json
亹,C,not-resolved,,,,,not-resolved,data/chars/4EB9.json
人,A,resolved,人,人,Bộ Nhân,9,self-radical,radical_learning_notes.json
亻,B,resolved,亻,人,Bộ Nhân,9,radical-variant,radical_alias_index.json
亼,C,not-resolved,,,,,not-resolved,data/chars/4EBC.json
亽,C,not-resolved,,,,,not-resolved,data/chars/4EBD.json
亿,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EBF.json
什,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EC0.json
仁,C,not-resolved,,,,,not-resolved,data/chars/4EC1.json
仂,B,resolved,力,力,Bộ Lực,19,record-radical,data/chars/4EC2.json
仃,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EC3.json
仄,C,not-resolved,,,,,not-resolved,data/chars/4EC4.json
仅,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EC5.json
仆,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EC6.json
仇,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EC7.json
仈,C,not-resolved,,,,,not-resolved,data/chars/4EC8.json
仉,C,not-resolved,,,,,not-resolved,data/chars/4EC9.json
今,C,not-resolved,,,,,not-resolved,data/chars/4ECA.json
介,A,resolved,人,人,Bộ Nhân,9,record-radical,data/chars/4ECB.json
仌,C,not-resolved,,,,,not-resolved,data/chars/4ECC.json
仍,C,not-resolved,乃,,,,not-resolved,data/chars/4ECD.json
从,C,not-resolved,,,,,not-resolved,data/chars/4ECE.json
仏,C,not-resolved,,,,,not-resolved,data/chars/4ECF.json
仑,C,not-resolved,◎,,,,not-resolved,data/chars/4ED1.json
仒,C,not-resolved,,,,,not-resolved,data/chars/4ED2.json
仓,C,not-resolved,合,,,,not-resolved,data/chars/4ED3.json
仔,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4ED4.json
仕,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4ED5.json
他,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4ED6.json
仗,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4ED7.json
付,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4ED8.json
仙,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4ED9.json
仚,C,not-resolved,,,,,not-resolved,data/chars/4EDA.json
仞,C,not-resolved,刃,,,,not-resolved,data/chars/4EDE.json
仟,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EDF.json
仡,C,not-resolved,,,,,not-resolved,data/chars/4EE1.json
代,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EE3.json
令,A,resolved,口,口,Bộ Khẩu,30,record-radical,data/chars/4EE4.json
以,C,not-resolved,◎,,,,not-resolved,data/chars/4EE5.json
仨,C,not-resolved,三,,,,not-resolved,data/chars/4EE8.json
仪,C,not-resolved,义,,,,not-resolved,data/chars/4EEA.json
仫,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EEB.json
们,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EEC.json
仮,C,not-resolved,,,,,not-resolved,data/chars/4EEE.json
仰,C,not-resolved,,,,,not-resolved,data/chars/4EF0.json
仲,C,not-resolved,,,,,not-resolved,data/chars/4EF2.json
仳,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EF3.json
仵,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EF5.json
件,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EF6.json
价,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EF7.json
任,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EFB.json
份,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EFD.json
仿,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4EFF.json
伀,C,not-resolved,,,,,not-resolved,data/chars/4F00.json
企,A,resolved,人,人,Bộ Nhân,9,record-radical,data/chars/4F01.json
伄,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4F04.json
伇,C,not-resolved,,,,,not-resolved,data/chars/4F07.json
伈,C,not-resolved,,,,,not-resolved,data/chars/4F08.json
伉,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4F09.json
伊,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4F0A.json
伋,C,not-resolved,,,,,not-resolved,data/chars/4F0B.json
伍,C,not-resolved,,,,,not-resolved,data/chars/4F0D.json
伎,C,not-resolved,,,,,not-resolved,data/chars/4F0E.json
伏,C,not-resolved,,,,,not-resolved,data/chars/4F0F.json
伐,C,not-resolved,,,,,not-resolved,data/chars/4F10.json
休,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4F11.json
伕,C,not-resolved,,,,,not-resolved,data/chars/4F15.json
众,A,resolved,人,人,Bộ Nhân,9,record-radical,data/chars/4F17.json
优,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4F18.json
伙,A,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/4F19.json
会,C,not-resolved,,,,,not-resolved,data/chars/4F1A.json
伛,C,not-resolved,,,,,not-resolved,data/chars/4F1B.json
伜,C,not-resolved,,,,,not-resolved,data/chars/4F1C.json
伝,C,not-resolved,,,,,not-resolved,data/chars/4F1D.json
